date,time,outdoor_temp,room_temp1,room_temp2,room_RH1,room_RH2,occupant_num,FCU_fan_feedback,FCU_onoff_feedback,FCU_combined_state
2021/08/11,09:00,32.422,29.0,29.0,62.18,62.18,2.0,2.0,0.0,0.0
2021/08/11,09:05,32.92,29.0,29.0,62.56,62.56,1.0,2.0,0.0,0.0
2021/08/11,09:10,33.166,29.0,29.0,62.93,62.93,2.0,2.0,0.0,0.0
2021/08/11,09:15,33.454,29.04,29.04,63.28,63.28,0.0,2.0,0.0,0.0
2021/08/11,09:20,32.632,29.04,29.04,63.44285714285714,63.44285714285714,2.0,2.0,0.0,0.0
2021/08/11,09:25,32.632,29.04,29.04,63.75714285714286,63.75714285714286,2.0,2.0,0.0,0.0
2021/08/11,09:30,31.474,28.71,28.71,60.47,60.47,0.0,2.0,1.0,2.0
2021/08/11,09:35,32.32,28.22,28.22,59.45,59.45,1.0,2.0,1.0,2.0
2021/08/11,09:40,33.682,27.81,27.81,57.46,57.46,2.0,2.0,1.0,2.0
2021/08/11,09:45,33.184,27.4,27.4,56.43,56.43,1.0,2.0,1.0,2.0
2021/08/11,09:50,33.31,26.95,26.95,54.79,54.79,0.0,2.0,1.0,2.0
2021/08/11,09:55,33.58,26.85,26.85,54.52,54.52,1.0,2.0,1.0,2.0
2021/08/11,10:00,33.724,26.81,26.81,53.97,53.97,1.0,2.0,1.0,2.0
2021/08/11,10:05,34.096,26.57,26.57,52.8,52.8,1.0,2.0,1.0,2.0
2021/08/11,10:10,35.104,26.3,26.3,52.05,52.05,1.0,2.0,1.0,2.0
2021/08/11,10:15,33.292,26.16,26.16,51.51,51.51,3.0,2.0,1.0,2.0
2021/08/11,10:20,33.682,26.16,26.16,51.23,51.23,2.0,2.0,1.0,2.0
2021/08/11,10:25,34.858,26.16,26.16,50.13,50.13,2.0,2.0,1.0,2.0
2021/08/11,10:30,36.304,26.16,26.16,49.97,49.97,1.0,2.0,1.0,2.0
