date,time,outdoor_temp,room_temp1,room_temp2,room_RH1,room_RH2,occupant_num,FCU_fan_feedback,FCU_onoff_feedback,FCU_combined_state
2021/08/13,09:00,26.83,28.79,28.79,56.49,56.49,3.0,2.0,0.0,0.0
2021/08/13,09:01,26.83,28.79,28.79,56.42,56.42,4.0,2.0,0.0,0.0
2021/08/13,09:02,26.83,28.79,28.79,56.42,56.42,4.0,2.0,1.0,2.0
2021/08/13,09:03,26.9,28.79,28.79,56.22,56.22,3.0,2.0,1.0,2.0
2021/08/13,09:04,26.83,28.76,28.76,56.11,56.11,3.0,2.0,1.0,2.0
2021/08/13,09:05,26.83,28.65,28.65,55.67,55.67,3.0,2.0,1.0,2.0
2021/08/13,09:06,26.77,28.52,28.52,55.67,55.67,4.0,2.0,1.0,2.0
2021/08/13,09:07,26.83,28.46,28.46,55.74,55.74,4.0,2.0,1.0,2.0
2021/08/13,09:08,26.83,28.24,28.24,55.74,55.74,4.0,2.0,1.0,2.0
2021/08/13,09:09,26.83,28.19,28.19,55.74,55.74,4.0,2.0,1.0,2.0
2021/08/13,09:10,26.83,28.1,28.1,55.6,55.6,3.0,2.0,1.0,2.0
2021/08/13,09:11,26.83,28.07,28.07,55.4,55.4,3.0,2.0,1.0,2.0
2021/08/13,09:12,26.83,28.05,28.05,55.12,55.12,3.0,2.0,1.0,2.0
2021/08/13,09:13,26.83,27.97,27.97,55.12,55.12,2.0,2.0,1.0,2.0
2021/08/13,09:14,26.83,27.97,27.97,54.85,54.85,2.0,2.0,1.0,2.0
2021/08/13,09:15,26.83,27.93,27.93,54.78,54.78,3.0,2.0,1.0,2.0
2021/08/13,09:16,26.83,27.91,27.91,54.57,54.57,2.0,2.0,1.0,2.0
2021/08/13,09:17,26.9,27.83,27.83,54.57,54.57,2.0,2.0,1.0,2.0
2021/08/13,09:18,27.14,27.83,27.83,54.57,54.57,2.0,2.0,1.0,2.0
2021/08/13,09:19,27.08,27.79,27.79,54.85,54.85,2.0,2.0,1.0,2.0
2021/08/13,09:20,27.04,27.79,27.79,54.85,54.85,2.0,2.0,1.0,2.0
2021/08/13,09:21,27.08,27.77,27.77,54.85,54.85,3.0,2.0,1.0,2.0
2021/08/13,09:22,27.04,27.77,27.77,54.57,54.57,2.0,2.0,1.0,2.0
2021/08/13,09:23,26.87,27.77,27.77,54.51,54.51,2.0,2.0,1.0,2.0
2021/08/13,09:24,26.94,27.69,27.69,54.57,54.57,2.0,2.0,1.0,2.0
2021/08/13,09:25,26.87,27.69,27.69,54.47,54.47,3.0,2.0,1.0,2.0
2021/08/13,09:26,26.97,27.69,27.69,54.57,54.57,3.0,2.0,1.0,2.0
2021/08/13,09:27,27.14,27.69,27.69,54.3,54.3,2.0,2.0,1.0,2.0
2021/08/13,09:28,27.14,27.69,27.69,54.23,54.23,3.0,2.0,1.0,2.0
2021/08/13,09:29,27.14,27.69,27.69,54.3,54.3,3.0,2.0,1.0,2.0
2021/08/13,09:30,27.45,27.65,27.65,54.3,54.3,2.0,2.0,1.0,2.0
2021/08/13,09:31,27.45,27.64,27.64,54.3,54.3,2.0,2.0,1.0,2.0
2021/08/13,09:32,27.45,27.55,27.55,54.23,54.23,2.0,2.0,1.0,2.0
2021/08/13,09:33,27.45,27.55,27.55,54.03,54.03,0.0,2.0,1.0,2.0
2021/08/13,09:34,27.45,27.52,27.52,53.93,53.93,1.0,2.0,1.0,2.0
2021/08/13,09:35,27.73,27.42,27.42,53.96,53.96,1.0,2.0,1.0,2.0
2021/08/13,09:36,27.73,27.42,27.42,53.96,53.96,1.0,2.0,1.0,2.0
2021/08/13,09:37,28.0,27.38,27.38,53.75,53.75,1.0,2.0,1.0,2.0
2021/08/13,09:38,28.0,27.38,27.38,53.65,53.65,1.0,2.0,1.0,2.0
2021/08/13,09:39,28.0,27.28,27.28,53.41,53.41,1.0,2.0,1.0,2.0
2021/08/13,09:40,28.0,27.28,27.28,53.55,53.55,1.0,2.0,1.0,2.0
2021/08/13,09:41,28.0,27.24,27.24,53.83,53.83,1.0,2.0,1.0,2.0
2021/08/13,09:42,28.0,27.24,27.24,53.75,53.75,1.0,2.0,1.0,2.0
2021/08/13,09:43,27.73,27.22,27.22,53.48,53.48,1.0,2.0,1.0,2.0
2021/08/13,09:44,27.73,27.24,27.24,53.38,53.38,1.0,2.0,1.0,2.0
2021/08/13,09:45,27.73,27.22,27.22,52.66,52.66,1.0,2.0,1.0,2.0
2021/08/13,09:46,27.73,27.14,27.14,52.32,52.32,1.0,2.0,1.0,2.0
2021/08/13,09:47,27.73,27.14,27.14,52.02,52.02,1.0,2.0,1.0,2.0
2021/08/13,09:48,28.0,27.09,27.09,51.47,51.47,1.0,2.0,1.0,2.0
2021/08/13,09:49,28.0,27.0,27.0,51.2,51.2,0.0,2.0,1.0,2.0
2021/08/13,09:50,28.21,27.0,27.0,50.75,50.75,0.0,2.0,1.0,2.0
2021/08/13,09:51,28.28,27.0,27.0,50.68,50.68,0.0,2.0,1.0,2.0
2021/08/13,09:52,28.28,27.0,27.0,50.75,50.75,1.0,2.0,1.0,2.0
2021/08/13,09:53,28.55,26.97,26.97,50.75,50.75,1.0,2.0,1.0,2.0
2021/08/13,09:54,28.55,26.95,26.95,50.75,50.75,1.0,2.0,1.0,2.0
2021/08/13,09:55,28.55,26.91,26.91,50.75,50.75,3.0,2.0,1.0,2.0
2021/08/13,09:56,28.55,26.86,26.86,50.75,50.75,4.0,2.0,1.0,2.0
2021/08/13,09:57,28.62,26.81,26.81,50.48,50.48,3.0,2.0,1.0,2.0
2021/08/13,09:58,28.83,26.73,26.73,50.48,50.48,3.0,2.0,1.0,2.0
2021/08/13,09:59,28.83,26.73,26.73,50.2,50.2,3.0,2.0,1.0,2.0
2021/08/13,10:00,28.83,26.73,26.73,49.83,49.83,3.0,2.0,1.0,2.0
2021/08/13,10:01,28.83,26.73,26.73,49.59,49.59,2.0,2.0,1.0,2.0
2021/08/13,10:02,28.83,26.69,26.69,49.11,49.11,2.0,2.0,1.0,2.0
2021/08/13,10:03,29.1,26.69,26.69,49.11,49.11,3.0,2.0,1.0,2.0
2021/08/13,10:04,28.83,26.67,26.67,49.21,49.21,3.0,2.0,1.0,2.0
2021/08/13,10:05,28.83,26.67,26.67,49.38,49.38,2.0,2.0,1.0,2.0
2021/08/13,10:06,28.55,26.67,26.67,49.38,49.38,2.0,2.0,1.0,2.0
2021/08/13,10:07,28.55,26.67,26.67,49.38,49.38,2.0,2.0,1.0,2.0
2021/08/13,10:08,28.55,26.67,26.67,49.11,49.11,4.0,2.0,1.0,2.0
2021/08/13,10:09,28.55,26.59,26.59,48.91,48.91,3.0,2.0,1.0,2.0
2021/08/13,10:10,28.83,26.59,26.59,48.84,48.84,3.0,2.0,1.0,2.0
2021/08/13,10:11,28.83,26.59,26.59,48.57,48.57,3.0,2.0,1.0,2.0
2021/08/13,10:12,29.1,26.59,26.59,48.29,48.29,3.0,2.0,1.0,2.0
2021/08/13,10:13,29.1,26.56,26.56,47.95,47.95,3.0,2.0,1.0,2.0
2021/08/13,10:14,29.1,26.56,26.56,48.02,48.02,3.0,2.0,1.0,2.0
2021/08/13,10:15,29.1,26.54,26.54,48.29,48.29,3.0,2.0,1.0,2.0
2021/08/13,10:16,29.1,26.54,26.54,48.29,48.29,3.0,2.0,1.0,2.0
2021/08/13,10:17,29.0,26.54,26.54,48.29,48.29,2.0,2.0,1.0,2.0
2021/08/13,10:18,29.03,26.54,26.54,48.29,48.29,3.0,2.0,1.0,2.0
2021/08/13,10:19,29.0,26.54,26.54,48.02,48.02,3.0,2.0,1.0,2.0
2021/08/13,10:20,29.03,26.54,26.54,47.47,47.47,2.0,2.0,1.0,2.0
2021/08/13,10:21,29.1,26.45,26.45,47.47,47.47,2.0,2.0,1.0,2.0
2021/08/13,10:22,29.1,26.45,26.45,47.2,47.2,2.0,2.0,1.0,2.0
2021/08/13,10:23,29.1,26.45,26.45,46.86,46.86,3.0,2.0,1.0,2.0
2021/08/13,10:24,29.1,26.45,26.45,46.65,46.65,3.0,2.0,1.0,2.0
2021/08/13,10:25,29.38,26.45,26.45,46.92,46.92,4.0,2.0,1.0,2.0
2021/08/13,10:26,29.38,26.45,26.45,47.03,47.03,4.0,2.0,1.0,2.0
2021/08/13,10:27,29.66,26.45,26.45,47.03,47.03,4.0,2.0,1.0,2.0
2021/08/13,10:28,29.72,26.45,26.45,47.2,47.2,4.0,2.0,1.0,2.0
2021/08/13,10:29,29.59,26.45,26.45,47.2,47.2,3.0,2.0,1.0,2.0
2021/08/13,10:30,29.66,26.45,26.45,47.13,47.13,3.0,2.0,1.0,2.0
2021/08/13,10:31,30.24,26.45,26.45,46.86,46.86,3.0,2.0,1.0,2.0
2021/08/13,10:32,30.31,26.45,26.45,46.55,46.55,3.0,2.0,1.0,2.0
2021/08/13,10:33,30.82,26.45,26.45,46.27,46.27,4.0,2.0,1.0,2.0
2021/08/13,10:34,30.75,26.45,26.45,46.04,46.04,4.0,2.0,1.0,2.0
2021/08/13,10:35,30.82,26.45,26.45,46.1,46.1,3.0,2.0,1.0,2.0
2021/08/13,10:36,30.82,26.45,26.45,46.65,46.65,3.0,2.0,1.0,2.0
2021/08/13,10:37,30.82,26.45,26.45,46.76,46.76,2.0,2.0,1.0,2.0
2021/08/13,10:38,30.82,26.45,26.45,46.99,46.99,2.0,2.0,1.0,2.0
2021/08/13,10:39,30.82,26.45,26.45,47.2,47.2,3.0,2.0,1.0,2.0
2021/08/13,10:40,30.82,26.45,26.45,47.2,47.2,3.0,2.0,1.0,2.0
2021/08/13,10:41,30.82,26.45,26.45,47.09,47.09,3.0,2.0,1.0,2.0
2021/08/13,10:42,30.82,26.45,26.45,46.86,46.86,2.0,2.0,1.0,2.0
2021/08/13,10:43,31.06,26.42,26.42,46.92,46.92,2.0,2.0,1.0,2.0
2021/08/13,10:44,31.186,26.42,26.42,46.92,46.92,2.0,2.0,1.0,2.0
2021/08/13,10:45,31.228,26.4,26.4,47.27,47.27,2.0,2.0,1.0,2.0
2021/08/13,10:46,31.39,26.4,26.4,48.09,48.09,3.0,2.0,1.0,2.0
2021/08/13,10:47,31.576,26.4,26.4,48.57,48.57,3.0,2.0,1.0,2.0
2021/08/13,10:48,31.906,26.31,26.31,48.57,48.57,3.0,2.0,1.0,2.0
2021/08/13,10:49,32.404,26.31,26.31,48.67,48.67,3.0,2.0,1.0,2.0
2021/08/13,10:50,32.566,26.35,26.35,48.63,48.63,3.0,2.0,1.0,2.0
2021/08/13,10:51,32.524,26.35,26.35,48.57,48.57,3.0,2.0,1.0,2.0
2021/08/13,10:52,32.566,26.31,26.31,48.36,48.36,3.0,2.0,1.0,2.0
2021/08/13,10:53,32.362,26.31,26.31,48.22,48.22,3.0,2.0,1.0,2.0
2021/08/13,10:54,31.906,26.31,26.31,48.22,48.22,3.0,2.0,1.0,2.0
2021/08/13,10:55,31.948,26.31,26.31,48.19,48.19,2.0,2.0,1.0,2.0
2021/08/13,10:56,32.236000000000004,26.31,26.31,47.95,47.95,3.0,2.0,1.0,2.0
2021/08/13,10:57,32.404,26.31,26.31,47.64,47.64,2.0,2.0,1.0,2.0
2021/08/13,10:58,32.608,26.31,26.31,47.47,47.47,2.0,2.0,1.0,2.0
2021/08/13,10:59,33.106,26.31,26.31,47.47,47.47,2.0,2.0,1.0,2.0
2021/08/13,11:00,33.910000000000004,26.31,26.31,47.81,47.81,2.0,2.0,1.0,2.0
2021/08/13,11:01,33.742,26.28,26.28,48.12,48.12,2.0,2.0,1.0,2.0
2021/08/13,11:02,33.910000000000004,26.28,26.28,48.29,48.29,2.0,2.0,1.0,2.0
2021/08/13,11:03,33.412,26.31,26.31,48.36,48.36,2.0,2.0,1.0,2.0
2021/08/13,11:04,33.04,26.31,26.31,48.29,48.29,2.0,2.0,1.0,2.0
2021/08/13,11:05,32.878,26.31,26.31,48.22,48.22,2.0,2.0,1.0,2.0
2021/08/13,11:06,32.878,26.31,26.31,47.95,47.95,2.0,2.0,1.0,2.0
2021/08/13,11:07,32.752,26.31,26.31,47.75,47.75,2.0,2.0,1.0,2.0
2021/08/13,11:08,32.752,26.31,26.31,47.75,47.75,2.0,2.0,1.0,2.0
2021/08/13,11:09,32.59,26.31,26.31,47.68,47.68,1.0,2.0,1.0,2.0
2021/08/13,11:10,32.422,26.31,26.31,47.64,47.64,2.0,2.0,1.0,2.0
2021/08/13,11:11,32.422,26.31,26.31,47.2,47.2,2.0,2.0,1.0,2.0
2021/08/13,11:12,32.59,26.31,26.31,47.09,47.09,2.0,2.0,1.0,2.0
2021/08/13,11:13,32.752,26.18,26.18,46.92,46.92,2.0,2.0,1.0,2.0
2021/08/13,11:14,32.752,26.14,26.14,46.99,46.99,2.0,2.0,1.0,2.0
2021/08/13,11:15,32.752,26.0,26.0,47.85,47.85,1.0,2.0,1.0,2.0
2021/08/13,11:16,32.59,26.0,26.0,48.36,48.36,1.0,2.0,1.0,2.0
2021/08/13,11:17,32.379999999999995,25.9,25.9,48.67,48.67,3.0,2.0,1.0,2.0
2021/08/13,11:18,32.26,25.9,25.9,48.84,48.84,3.0,2.0,1.0,2.0
