date,time,outdoor_temp,room_temp1,room_temp2,room_RH1,room_RH2,occupant_num,FCU_fan_feedback,FCU_onoff_feedback,FCU_combined_state
2021/08/17,09:00,28.0,27.64,27.64,55.22,55.22,4.0,2.0,0.0,0.0
2021/08/17,09:01,28.0,27.64,27.64,54.66,54.66,4.0,2.0,1.0,2.0
2021/08/17,09:02,28.28,27.64,27.64,54.39,54.39,4.0,2.0,1.0,2.0
2021/08/17,09:03,28.18,27.64,27.64,54.115,54.115,4.0,2.0,1.0,2.0
2021/08/17,09:04,27.9,27.64,27.64,53.84,53.84,4.0,2.0,1.0,2.0
2021/08/17,09:05,27.73,27.59,27.59,53.23,53.23,4.0,2.0,1.0,2.0
2021/08/17,09:06,27.83,27.5,27.5,52.47,52.47,4.0,3.0,1.0,3.0
2021/08/17,09:07,28.0,27.36,27.36,52.47,52.47,4.0,3.0,1.0,3.0
2021/08/17,09:08,28.0,27.33,27.33,52.2,52.2,4.0,3.0,1.0,3.0
2021/08/17,09:09,28.0,27.31,27.31,51.92,51.92,4.0,3.0,1.0,3.0
2021/08/17,09:10,28.55,27.23,27.23,51.37,51.37,4.0,3.0,1.0,3.0
2021/08/17,09:11,28.83,27.19,27.19,51.1,51.1,4.0,3.0,1.0,3.0
2021/08/17,09:12,28.83,27.17,27.17,51.1,51.1,4.0,3.0,1.0,3.0
2021/08/17,09:13,29.17,27.09,27.09,50.55,50.55,4.0,3.0,1.0,3.0
2021/08/17,09:14,29.72,27.09,27.09,50.27,50.27,4.0,3.0,1.0,3.0
2021/08/17,09:15,30.75,27.05,27.05,49.45,49.45,4.0,3.0,1.0,3.0
2021/08/17,09:16,31.246,27.04,27.04,49.07,49.07,4.0,3.0,1.0,3.0
2021/08/17,09:17,30.69,26.95,26.95,48.62,48.62,4.0,3.0,1.0,3.0
2021/08/17,09:18,30.24,26.92,26.92,48.25,48.25,4.0,3.0,1.0,3.0
2021/08/17,09:19,30.24,26.9,26.9,47.8,47.8,4.0,3.0,1.0,3.0
2021/08/17,09:20,29.69,26.81,26.81,47.53,47.53,4.0,3.0,1.0,3.0
2021/08/17,09:21,28.8,26.81,26.81,47.25,47.25,4.0,3.0,1.0,3.0
2021/08/17,09:22,28.59,26.78,26.78,47.25,47.25,4.0,3.0,1.0,3.0
2021/08/17,09:23,28.86,26.78,26.78,47.25,47.25,4.0,3.0,1.0,3.0
2021/08/17,09:24,28.86,26.68,26.68,47.25,47.25,4.0,3.0,1.0,3.0
2021/08/17,09:25,29.14,26.68,26.68,47.25,47.25,4.0,3.0,1.0,3.0
2021/08/17,09:26,29.35,26.68,26.68,47.25,47.25,4.0,3.0,1.0,3.0
2021/08/17,09:27,29.48,26.68,26.68,47.19,47.19,4.0,3.0,1.0,3.0
2021/08/17,09:28,29.72,26.68,26.68,46.7,46.7,4.0,3.0,1.0,3.0
2021/08/17,09:29,30.2,26.68,26.68,46.36,46.36,4.0,3.0,1.0,3.0
2021/08/17,09:30,30.2,26.64,26.64,46.09,46.09,4.0,3.0,1.0,3.0
2021/08/17,09:31,30.28,26.64,26.64,45.88,45.88,4.0,3.0,1.0,3.0
2021/08/17,09:32,30.62,26.62,26.62,45.54,45.54,4.0,3.0,1.0,3.0
2021/08/17,09:33,31.06,26.54,26.54,45.33,45.33,4.0,3.0,1.0,3.0
2021/08/17,09:34,31.228,26.54,26.54,45.06,45.06,4.0,3.0,1.0,3.0
2021/08/17,09:35,31.39,26.54,26.54,45.06,45.06,4.0,3.0,1.0,3.0
2021/08/17,09:36,31.39,26.54,26.54,44.72,44.72,4.0,3.0,1.0,3.0
2021/08/17,09:37,30.75,26.51,26.51,44.23,44.23,4.0,3.0,1.0,3.0
2021/08/17,09:38,30.28,26.51,26.51,44.13,44.13,4.0,3.0,1.0,3.0
2021/08/17,09:39,30.28,26.49,26.49,43.89,43.89,4.0,3.0,1.0,3.0
2021/08/17,09:40,30.55,26.4,26.4,44.06,44.06,4.0,3.0,1.0,3.0
2021/08/17,09:41,30.48,26.4,26.4,44.3,44.3,4.0,3.0,1.0,3.0
2021/08/17,09:42,30.44,26.37,26.37,44.34,44.34,4.0,3.0,1.0,3.0
2021/08/17,09:43,30.17,26.37,26.37,44.51,44.51,4.0,3.0,1.0,3.0
2021/08/17,09:44,30.0,26.35,26.35,44.51,44.51,4.0,3.0,1.0,3.0
2021/08/17,09:45,29.66,26.26,26.26,44.51,44.51,4.0,3.0,1.0,3.0
2021/08/17,09:46,29.17,26.26,26.26,44.23,44.23,4.0,3.0,1.0,3.0
2021/08/17,09:47,29.17,26.26,26.26,44.23,44.23,4.0,3.0,1.0,3.0
2021/08/17,09:48,29.17,26.26,26.26,43.96,43.96,4.0,3.0,1.0,3.0
2021/08/17,09:49,28.9,26.23,26.23,43.96,43.96,4.0,3.0,1.0,3.0
2021/08/17,09:50,28.9,26.23,26.23,43.68,43.68,4.0,3.0,1.0,3.0
2021/08/17,09:51,29.45,26.21,26.21,43.68,43.68,4.0,3.0,1.0,3.0
